w_geocode,state,stateID,county,countyID,tract,block_group,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CNSTotal,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,empedu_p,empTotal,emptrn_p
130470302011018,Georgia,13,Catoosa County,047,030201,1018,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0
130470302011025,Georgia,13,Catoosa County,047,030201,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,327,0,0,0,0,0,0,0,0,327,327,0
130470302011026,Georgia,13,Catoosa County,047,030201,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0,0,0,7,0
130470302011027,Georgia,13,Catoosa County,047,030201,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,46,0,0,0,0,0,0,0,46,0
130470302011029,Georgia,13,Catoosa County,047,030201,1029,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,26,0
130470302011030,Georgia,13,Catoosa County,047,030201,1030,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,2,6,0,0,8,0
130470302011032,Georgia,13,Catoosa County,047,030201,1032,0,0,0,0,3,0,2,0,0,1,1,0,0,0,0,5,0,0,0,0,12,0,0,3,5,2,2,0,0,0,12,0
130470302011033,Georgia,13,Catoosa County,047,030201,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0
130470302011036,Georgia,13,Catoosa County,047,030201,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0
130470302011038,Georgia,13,Catoosa County,047,030201,1038,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470302011040,Georgia,13,Catoosa County,047,030201,1040,0,0,0,0,0,0,9,0,0,3,0,0,0,32,0,0,0,0,0,0,44,0,0,0,0,35,9,0,0,0,44,0
130470302011041,Georgia,13,Catoosa County,047,030201,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,12,0,0,0,0,111,0,0,0,12,0,0,0,0,99,111,0
130470302011044,Georgia,13,Catoosa County,047,030201,1044,0,0,0,0,0,0,26,0,0,0,0,9,0,0,0,4,0,0,0,0,39,0,0,0,4,9,26,0,0,0,39,0
130470302011045,Georgia,13,Catoosa County,047,030201,1045,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,13,0,0,0,0,73,0,0,0,13,0,60,0,0,0,73,0
130470302011046,Georgia,13,Catoosa County,047,030201,1046,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,5,9,0,0,0,14,0
130470302011047,Georgia,13,Catoosa County,047,030201,1047,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,28,0,0,0,0,37,0,0,0,28,4,5,0,0,0,37,0
130470302011048,Georgia,13,Catoosa County,047,030201,1048,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,7,0,5,0,0,2,0,0,0,0,7,0
130470302011049,Georgia,13,Catoosa County,047,030201,1049,0,0,0,0,0,0,8,0,0,29,0,4,0,0,0,0,0,0,0,0,41,0,0,0,0,33,8,0,0,0,41,0
130470302011050,Georgia,13,Catoosa County,047,030201,1050,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0
130470302011051,Georgia,13,Catoosa County,047,030201,1051,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,8,0,135,3,0,160,135,0,0,8,3,0,3,11,0,160,0
130470302011054,Georgia,13,Catoosa County,047,030201,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,17,0,0,0,8,0,0,9,0,0,17,0
130470302011057,Georgia,13,Catoosa County,047,030201,1057,0,0,0,5,0,0,9,0,0,0,0,37,0,0,0,0,0,36,0,0,87,36,0,0,0,37,9,0,5,0,87,0
130470302011058,Georgia,13,Catoosa County,047,030201,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,363,371,0,363,0,1,0,0,7,0,0,371,0
130470302011059,Georgia,13,Catoosa County,047,030201,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
130470302012000,Georgia,13,Catoosa County,047,030201,2000,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,10,9,0,19,0
130470302012006,Georgia,13,Catoosa County,047,030201,2006,0,0,0,0,0,0,0,127,0,0,2,2,0,0,1,0,0,0,0,0,132,0,0,127,0,4,0,0,0,1,132,127
130470302012015,Georgia,13,Catoosa County,047,030201,2015,0,0,0,3,26,0,6,2,0,0,0,0,0,0,0,32,0,5,0,0,74,5,0,28,32,0,6,0,3,0,74,2
130470302012022,Georgia,13,Catoosa County,047,030201,2022,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,12,10,0,0,0,2,0,0,0,0,12,0
130470302012025,Georgia,13,Catoosa County,047,030201,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0
130470302012026,Georgia,13,Catoosa County,047,030201,2026,0,0,0,0,0,0,14,160,0,0,0,0,0,0,0,6,0,33,0,0,213,33,0,160,6,0,14,0,0,0,213,160
130470302012028,Georgia,13,Catoosa County,047,030201,2028,0,0,0,0,0,107,0,56,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,163,0,0,0,0,0,0,163,163
130470302012030,Georgia,13,Catoosa County,047,030201,2030,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,14,0,71,0,0,57,0,0,0,14,0,0,71,57
130470302012032,Georgia,13,Catoosa County,047,030201,2032,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0
130470302012035,Georgia,13,Catoosa County,047,030201,2035,0,0,0,0,0,0,50,0,0,3,0,6,0,0,0,18,0,0,0,0,77,0,0,0,18,9,50,0,0,0,77,0
130470302012041,Georgia,13,Catoosa County,047,030201,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,10,0
130470302012042,Georgia,13,Catoosa County,047,030201,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,0
130470302012048,Georgia,13,Catoosa County,047,030201,2048,0,0,0,0,35,0,0,0,0,0,0,9,0,15,0,0,3,0,0,0,62,0,0,35,0,24,0,3,0,0,62,0
130470302012050,Georgia,13,Catoosa County,047,030201,2050,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2
130470302012057,Georgia,13,Catoosa County,047,030201,2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,16,0,0,16,0
130470302012058,Georgia,13,Catoosa County,047,030201,2058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
130470302012062,Georgia,13,Catoosa County,047,030201,2062,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,26,0
130470302012064,Georgia,13,Catoosa County,047,030201,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,10,0
130470302012065,Georgia,13,Catoosa County,047,030201,2065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,6,0,29,0,0,0,22,1,0,6,0,0,29,0
130470302012067,Georgia,13,Catoosa County,047,030201,2067,0,0,0,11,6,0,3,4,0,0,5,10,0,0,2,58,0,143,9,0,251,143,0,10,58,15,3,9,11,2,251,4
130470302012076,Georgia,13,Catoosa County,047,030201,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,39,0,0,0,0,0,0,0,0,39,0
130470302021002,Georgia,13,Catoosa County,047,030202,1002,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,10,0,13,0
130470302021005,Georgia,13,Catoosa County,047,030202,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,22,0,0,0,0,0,22,0
130470302021006,Georgia,13,Catoosa County,047,030202,1006,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0
130470302021007,Georgia,13,Catoosa County,047,030202,1007,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,12,12
130470302021010,Georgia,13,Catoosa County,047,030202,1010,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,3,0
130470302021014,Georgia,13,Catoosa County,047,030202,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
130470302021016,Georgia,13,Catoosa County,047,030202,1016,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,33,0,1,0,0,34,0
130470302021019,Georgia,13,Catoosa County,047,030202,1019,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,6,13,0,34,6,0,0,10,5,0,13,0,0,34,0
130470302021022,Georgia,13,Catoosa County,047,030202,1022,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470302021026,Georgia,13,Catoosa County,047,030202,1026,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,42,0,0,55,42,0,0,0,0,13,0,0,0,55,0
130470302021027,Georgia,13,Catoosa County,047,030202,1027,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,6,0,3,0,0,0,9,0
130470302021028,Georgia,13,Catoosa County,047,030202,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,57,57,0,0,0,0,0,0,0,0,57,0
130470302021029,Georgia,13,Catoosa County,047,030202,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
130470302022002,Georgia,13,Catoosa County,047,030202,2002,0,0,0,9,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,2,0,0,9,0,13,1
130470302022003,Georgia,13,Catoosa County,047,030202,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
130470302023000,Georgia,13,Catoosa County,047,030202,3000,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,1,0,12,0,0,0,0,8,3,1,0,0,12,0
130470302023004,Georgia,13,Catoosa County,047,030202,3004,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0
130470302023006,Georgia,13,Catoosa County,047,030202,3006,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1
130470302023007,Georgia,13,Catoosa County,047,030202,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,13,0,0,0,0,0,0,0,0,13,0
130470302023012,Georgia,13,Catoosa County,047,030202,3012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
130470302023019,Georgia,13,Catoosa County,047,030202,3019,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,5,0,2,0,0,0,0,7,5
130470302023025,Georgia,13,Catoosa County,047,030202,3025,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,31,0,0,0,35,0,0,0,0,4,0,31,0,0,35,0
130470302023026,Georgia,13,Catoosa County,047,030202,3026,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2
130470302023027,Georgia,13,Catoosa County,047,030202,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
130470302023029,Georgia,13,Catoosa County,047,030202,3029,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,2,5,0,0,0,7,0
130470302023032,Georgia,13,Catoosa County,047,030202,3032,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470303011003,Georgia,13,Catoosa County,047,030301,1003,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,43,3
130470303011005,Georgia,13,Catoosa County,047,030301,1005,0,0,0,0,72,0,0,169,0,0,0,1,0,0,0,0,0,0,0,0,242,0,0,241,0,1,0,0,0,0,242,169
130470303011006,Georgia,13,Catoosa County,047,030301,1006,0,0,0,0,0,52,8,0,0,0,0,0,0,0,76,0,0,0,0,0,136,0,0,52,0,0,8,0,0,76,136,52
130470303011009,Georgia,13,Catoosa County,047,030301,1009,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,42,0,115,0,0,177,115,0,0,42,0,20,0,0,0,177,0
130470303011010,Georgia,13,Catoosa County,047,030301,1010,0,0,0,0,0,0,127,0,0,0,0,6,0,0,0,0,0,9,0,0,142,9,0,0,0,6,127,0,0,0,142,0
130470303011012,Georgia,13,Catoosa County,047,030301,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,175,0,0,0,0,0,0,0,0,175,175,0
130470303011014,Georgia,13,Catoosa County,047,030301,1014,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,2,1,0,0,4,1
130470303011015,Georgia,13,Catoosa County,047,030301,1015,0,0,0,4,132,0,156,0,0,6,0,0,0,0,0,13,0,0,0,0,311,0,0,132,13,6,156,0,4,0,311,0
130470303011016,Georgia,13,Catoosa County,047,030301,1016,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,39,0
130470303011018,Georgia,13,Catoosa County,047,030301,1018,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0
130470303011019,Georgia,13,Catoosa County,047,030301,1019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
130470303011028,Georgia,13,Catoosa County,047,030301,1028,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2
130470303011030,Georgia,13,Catoosa County,047,030301,1030,164,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,8,0,0,0,0,173,0,181,8
130470303011031,Georgia,13,Catoosa County,047,030301,1031,0,0,0,0,0,0,10,0,0,0,0,1,0,6,0,16,0,0,0,0,33,0,0,0,16,7,10,0,0,0,33,0
130470303011035,Georgia,13,Catoosa County,047,030301,1035,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,0,0,2,0,6,0
130470303012002,Georgia,13,Catoosa County,047,030301,2002,0,0,0,0,0,56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,56,0,0,1,0,0,1,58,56
130470303012008,Georgia,13,Catoosa County,047,030301,2008,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,4,10,0,0,0,14,0
130470303012012,Georgia,13,Catoosa County,047,030301,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0
130470303012015,Georgia,13,Catoosa County,047,030301,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0
130470303012017,Georgia,13,Catoosa County,047,030301,2017,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,0,0,32,0
130470303012018,Georgia,13,Catoosa County,047,030301,2018,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0
130470303013004,Georgia,13,Catoosa County,047,030301,3004,0,0,0,119,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,5,0,119,0,124,0
130470303013008,Georgia,13,Catoosa County,047,030301,3008,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,17,0,0,49,17,0,0,0,0,32,0,0,0,49,0
130470303013021,Georgia,13,Catoosa County,047,030301,3021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,3,0
130470303013027,Georgia,13,Catoosa County,047,030301,3027,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2
130470303013028,Georgia,13,Catoosa County,047,030301,3028,0,0,0,0,0,0,0,0,0,165,0,3,0,0,0,5,0,0,0,0,173,0,0,0,5,168,0,0,0,0,173,0
130470303013034,Georgia,13,Catoosa County,047,030301,3034,0,0,0,0,22,0,3,1,0,0,0,2,0,0,0,3,1,0,0,0,32,0,0,23,3,2,3,1,0,0,32,1
130470303013039,Georgia,13,Catoosa County,047,030301,3039,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
130470303031000,Georgia,13,Catoosa County,047,030303,1000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0
130470303031003,Georgia,13,Catoosa County,047,030303,1003,0,0,0,2,28,0,11,0,0,0,0,2,0,0,0,4,0,0,0,0,47,0,0,28,4,2,11,0,2,0,47,0
130470303031010,Georgia,13,Catoosa County,047,030303,1010,0,0,0,0,29,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,29,0,0,51,0,0,0,80,0
130470303031012,Georgia,13,Catoosa County,047,030303,1012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
130470303031019,Georgia,13,Catoosa County,047,030303,1019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
130470303031021,Georgia,13,Catoosa County,047,030303,1021,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0
130470303031032,Georgia,13,Catoosa County,047,030303,1032,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0
130470303031045,Georgia,13,Catoosa County,047,030303,1045,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470303041003,Georgia,13,Catoosa County,047,030304,1003,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,258,0,0,0,0,0,0,258,0
130470303041004,Georgia,13,Catoosa County,047,030304,1004,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56,0,0,0,0,56,0
130470303041009,Georgia,13,Catoosa County,047,030304,1009,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,5
130470303041010,Georgia,13,Catoosa County,047,030304,1010,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,22,0
130470303041013,Georgia,13,Catoosa County,047,030304,1013,0,0,0,1,147,31,35,0,58,0,0,1,0,0,0,0,0,144,0,0,417,144,0,178,0,59,35,0,1,0,417,31
130470303041019,Georgia,13,Catoosa County,047,030304,1019,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0
130470303041022,Georgia,13,Catoosa County,047,030304,1022,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0
130470303041024,Georgia,13,Catoosa County,047,030304,1024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0
130470303041035,Georgia,13,Catoosa County,047,030304,1035,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0
130470303041037,Georgia,13,Catoosa County,047,030304,1037,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0
130470303041038,Georgia,13,Catoosa County,047,030304,1038,0,0,0,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0,54,0,56,0
130470303041039,Georgia,13,Catoosa County,047,030304,1039,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
130470303041040,Georgia,13,Catoosa County,047,030304,1040,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2
