w_geocode,state,county,tract,block_group,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,empedu_p,empTotal,emptrn_p
130470302011018,Georgia,Catoosa County,030201,1018,0,0,0,0,2,0,0,0,0,2,0
130470302011025,Georgia,Catoosa County,030201,1025,0,0,0,0,0,0,0,0,327,327,0
130470302011026,Georgia,Catoosa County,030201,1026,7,0,0,0,0,0,0,0,0,7,0
130470302011027,Georgia,Catoosa County,030201,1027,0,46,0,0,0,0,0,0,0,46,0
130470302011029,Georgia,Catoosa County,030201,1029,0,0,0,0,0,0,0,26,0,26,0
130470302011030,Georgia,Catoosa County,030201,1030,0,0,0,0,0,2,6,0,0,8,0
130470302011032,Georgia,Catoosa County,030201,1032,0,0,3,5,2,2,0,0,0,12,0
130470302011033,Georgia,Catoosa County,030201,1033,0,0,0,5,0,0,0,0,0,5,0
130470302011036,Georgia,Catoosa County,030201,1036,0,0,0,0,0,0,5,0,0,5,0
130470302011038,Georgia,Catoosa County,030201,1038,0,0,0,0,3,0,0,0,0,3,0
130470302011040,Georgia,Catoosa County,030201,1040,0,0,0,0,35,9,0,0,0,44,0
130470302011041,Georgia,Catoosa County,030201,1041,0,0,0,12,0,0,0,0,99,111,0
130470302011044,Georgia,Catoosa County,030201,1044,0,0,0,4,9,26,0,0,0,39,0
130470302011045,Georgia,Catoosa County,030201,1045,0,0,0,13,0,60,0,0,0,73,0
130470302011046,Georgia,Catoosa County,030201,1046,0,0,0,0,5,9,0,0,0,14,0
130470302011047,Georgia,Catoosa County,030201,1047,0,0,0,28,4,5,0,0,0,37,0
130470302011048,Georgia,Catoosa County,030201,1048,0,5,0,0,2,0,0,0,0,7,0
130470302011049,Georgia,Catoosa County,030201,1049,0,0,0,0,33,8,0,0,0,41,0
130470302011050,Georgia,Catoosa County,030201,1050,0,0,0,0,2,0,0,0,0,2,0
130470302011051,Georgia,Catoosa County,030201,1051,135,0,0,8,3,0,3,11,0,160,0
130470302011054,Georgia,Catoosa County,030201,1054,0,0,0,8,0,0,9,0,0,17,0
130470302011057,Georgia,Catoosa County,030201,1057,36,0,0,0,37,9,0,5,0,87,0
130470302011058,Georgia,Catoosa County,030201,1058,0,363,0,1,0,0,7,0,0,371,0
130470302011059,Georgia,Catoosa County,030201,1059,0,0,0,0,0,0,1,0,0,1,0
130470302012000,Georgia,Catoosa County,030201,2000,0,0,0,0,0,0,10,9,0,19,0
130470302012006,Georgia,Catoosa County,030201,2006,0,0,127,0,4,0,0,0,1,132,127
130470302012015,Georgia,Catoosa County,030201,2015,5,0,28,32,0,6,0,3,0,74,2
130470302012022,Georgia,Catoosa County,030201,2022,10,0,0,0,2,0,0,0,0,12,0
130470302012025,Georgia,Catoosa County,030201,2025,0,0,0,0,0,0,3,0,0,3,0
130470302012026,Georgia,Catoosa County,030201,2026,33,0,160,6,0,14,0,0,0,213,160
130470302012028,Georgia,Catoosa County,030201,2028,0,0,163,0,0,0,0,0,0,163,163
130470302012030,Georgia,Catoosa County,030201,2030,0,0,57,0,0,0,14,0,0,71,57
130470302012032,Georgia,Catoosa County,030201,2032,0,0,0,0,0,3,0,0,0,3,0
130470302012035,Georgia,Catoosa County,030201,2035,0,0,0,18,9,50,0,0,0,77,0
130470302012041,Georgia,Catoosa County,030201,2041,0,0,0,0,0,0,10,0,0,10,0
130470302012042,Georgia,Catoosa County,030201,2042,3,0,0,0,0,0,0,0,0,3,0
130470302012048,Georgia,Catoosa County,030201,2048,0,0,35,0,24,0,3,0,0,62,0
130470302012050,Georgia,Catoosa County,030201,2050,0,0,2,0,0,0,0,0,0,2,2
130470302012057,Georgia,Catoosa County,030201,2057,0,0,0,0,0,0,16,0,0,16,0
130470302012058,Georgia,Catoosa County,030201,2058,0,0,1,0,0,0,0,0,0,1,1
130470302012062,Georgia,Catoosa County,030201,2062,0,0,0,0,0,26,0,0,0,26,0
130470302012064,Georgia,Catoosa County,030201,2064,0,10,0,0,0,0,0,0,0,10,0
130470302012065,Georgia,Catoosa County,030201,2065,0,0,0,22,1,0,6,0,0,29,0
130470302012067,Georgia,Catoosa County,030201,2067,143,0,10,58,15,3,9,11,2,251,4
130470302012076,Georgia,Catoosa County,030201,2076,39,0,0,0,0,0,0,0,0,39,0
130470302021002,Georgia,Catoosa County,030202,1002,0,0,0,0,0,3,0,10,0,13,0
130470302021005,Georgia,Catoosa County,030202,1005,0,0,0,22,0,0,0,0,0,22,0
130470302021006,Georgia,Catoosa County,030202,1006,0,0,0,0,0,0,0,3,0,3,0
130470302021007,Georgia,Catoosa County,030202,1007,0,0,12,0,0,0,0,0,0,12,12
130470302021010,Georgia,Catoosa County,030202,1010,0,0,0,0,1,0,0,2,0,3,0
130470302021014,Georgia,Catoosa County,030202,1014,0,0,0,0,1,0,0,0,0,1,0
130470302021016,Georgia,Catoosa County,030202,1016,0,0,0,0,33,0,1,0,0,34,0
130470302021019,Georgia,Catoosa County,030202,1019,6,0,0,10,5,0,13,0,0,34,0
130470302021022,Georgia,Catoosa County,030202,1022,0,0,0,0,3,0,0,0,0,3,0
130470302021026,Georgia,Catoosa County,030202,1026,42,0,0,0,0,13,0,0,0,55,0
130470302021027,Georgia,Catoosa County,030202,1027,0,0,0,6,0,3,0,0,0,9,0
130470302021028,Georgia,Catoosa County,030202,1028,57,0,0,0,0,0,0,0,0,57,0
130470302021029,Georgia,Catoosa County,030202,1029,0,0,0,0,0,0,0,1,0,1,0
130470302022002,Georgia,Catoosa County,030202,2002,0,0,2,0,2,0,0,9,0,13,1
130470302022003,Georgia,Catoosa County,030202,2003,0,0,0,0,0,0,1,0,0,1,0
130470302023000,Georgia,Catoosa County,030202,3000,0,0,0,0,8,3,1,0,0,12,0
130470302023004,Georgia,Catoosa County,030202,3004,0,0,0,0,5,0,0,0,0,5,0
130470302023006,Georgia,Catoosa County,030202,3006,0,0,1,0,1,0,0,0,0,2,1
130470302023007,Georgia,Catoosa County,030202,3007,13,0,0,0,0,0,0,0,0,13,0
130470302023012,Georgia,Catoosa County,030202,3012,0,0,1,0,0,0,0,0,0,1,1
130470302023019,Georgia,Catoosa County,030202,3019,0,0,5,0,2,0,0,0,0,7,5
130470302023025,Georgia,Catoosa County,030202,3025,0,0,0,0,4,0,31,0,0,35,0
130470302023026,Georgia,Catoosa County,030202,3026,0,0,2,0,0,0,0,0,0,2,2
130470302023027,Georgia,Catoosa County,030202,3027,0,0,0,0,0,0,1,0,0,1,0
130470302023029,Georgia,Catoosa County,030202,3029,0,0,0,0,2,5,0,0,0,7,0
130470302023032,Georgia,Catoosa County,030202,3032,0,0,0,0,3,0,0,0,0,3,0
130470303011003,Georgia,Catoosa County,030301,1003,0,0,43,0,0,0,0,0,0,43,3
130470303011005,Georgia,Catoosa County,030301,1005,0,0,241,0,1,0,0,0,0,242,169
130470303011006,Georgia,Catoosa County,030301,1006,0,0,52,0,0,8,0,0,76,136,52
130470303011009,Georgia,Catoosa County,030301,1009,115,0,0,42,0,20,0,0,0,177,0
130470303011010,Georgia,Catoosa County,030301,1010,9,0,0,0,6,127,0,0,0,142,0
130470303011012,Georgia,Catoosa County,030301,1012,0,0,0,0,0,0,0,0,175,175,0
130470303011014,Georgia,Catoosa County,030301,1014,0,0,1,0,0,2,1,0,0,4,1
130470303011015,Georgia,Catoosa County,030301,1015,0,0,132,13,6,156,0,4,0,311,0
130470303011016,Georgia,Catoosa County,030301,1016,0,0,39,0,0,0,0,0,0,39,0
130470303011018,Georgia,Catoosa County,030301,1018,0,0,0,0,0,0,0,30,0,30,0
130470303011019,Georgia,Catoosa County,030301,1019,0,0,0,0,1,0,0,0,0,1,0
130470303011028,Georgia,Catoosa County,030301,1028,0,0,2,0,0,0,0,0,0,2,2
130470303011030,Georgia,Catoosa County,030301,1030,0,0,8,0,0,0,0,173,0,181,8
130470303011031,Georgia,Catoosa County,030301,1031,0,0,0,16,7,10,0,0,0,33,0
130470303011035,Georgia,Catoosa County,030301,1035,0,0,0,0,4,0,0,2,0,6,0
130470303012002,Georgia,Catoosa County,030301,2002,0,0,56,0,0,1,0,0,1,58,56
130470303012008,Georgia,Catoosa County,030301,2008,0,0,0,0,4,10,0,0,0,14,0
130470303012012,Georgia,Catoosa County,030301,2012,0,0,0,4,0,0,0,0,0,4,0
130470303012015,Georgia,Catoosa County,030301,2015,0,0,0,2,0,0,0,0,0,2,0
130470303012017,Georgia,Catoosa County,030301,2017,0,0,0,0,0,32,0,0,0,32,0
130470303012018,Georgia,Catoosa County,030301,2018,0,0,0,0,0,5,0,0,0,5,0
130470303013004,Georgia,Catoosa County,030301,3004,0,0,0,0,0,5,0,119,0,124,0
130470303013008,Georgia,Catoosa County,030301,3008,17,0,0,0,0,32,0,0,0,49,0
130470303013021,Georgia,Catoosa County,030301,3021,0,0,0,0,0,0,2,1,0,3,0
130470303013027,Georgia,Catoosa County,030301,3027,0,0,2,0,0,0,0,0,0,2,2
130470303013028,Georgia,Catoosa County,030301,3028,0,0,0,5,168,0,0,0,0,173,0
130470303013034,Georgia,Catoosa County,030301,3034,0,0,23,3,2,3,1,0,0,32,1
130470303013039,Georgia,Catoosa County,030301,3039,0,0,0,0,0,1,0,0,0,1,0
130470303031000,Georgia,Catoosa County,030303,1000,0,0,0,0,0,0,0,4,0,4,0
130470303031003,Georgia,Catoosa County,030303,1003,0,0,28,4,2,11,0,2,0,47,0
130470303031010,Georgia,Catoosa County,030303,1010,0,0,29,0,0,51,0,0,0,80,0
130470303031012,Georgia,Catoosa County,030303,1012,0,0,0,0,1,0,0,0,0,1,0
130470303031019,Georgia,Catoosa County,030303,1019,0,0,1,0,0,0,0,0,0,1,1
130470303031021,Georgia,Catoosa County,030303,1021,0,0,0,0,0,0,0,7,0,7,0
130470303031032,Georgia,Catoosa County,030303,1032,0,0,2,0,0,0,0,0,0,2,0
130470303031045,Georgia,Catoosa County,030303,1045,0,0,0,0,3,0,0,0,0,3,0
130470303041003,Georgia,Catoosa County,030304,1003,0,0,258,0,0,0,0,0,0,258,0
130470303041004,Georgia,Catoosa County,030304,1004,0,0,0,0,56,0,0,0,0,56,0
130470303041009,Georgia,Catoosa County,030304,1009,0,0,5,0,0,0,0,0,0,5,5
130470303041010,Georgia,Catoosa County,030304,1010,0,0,0,0,0,0,0,22,0,22,0
130470303041013,Georgia,Catoosa County,030304,1013,144,0,178,0,59,35,0,1,0,417,31
130470303041019,Georgia,Catoosa County,030304,1019,0,0,3,0,0,0,0,0,0,3,0
130470303041022,Georgia,Catoosa County,030304,1022,0,0,5,0,0,0,0,0,0,5,0
130470303041024,Georgia,Catoosa County,030304,1024,0,0,7,0,0,0,0,0,0,7,0
130470303041035,Georgia,Catoosa County,030304,1035,0,0,0,0,0,0,0,7,0,7,0
130470303041037,Georgia,Catoosa County,030304,1037,0,0,0,0,0,0,0,7,0,7,0
130470303041038,Georgia,Catoosa County,030304,1038,0,0,0,0,2,0,0,54,0,56,0
130470303041039,Georgia,Catoosa County,030304,1039,0,0,1,0,0,0,0,0,0,1,1
130470303041040,Georgia,Catoosa County,030304,1040,0,0,2,0,0,0,0,0,0,2,2
130470303041044,Georgia,Catoosa County,030304,1044,0,0,0,0,4,0,0,0,0,4,0
130470303041061,Georgia,Catoosa County,030304,1061,0,0,0,1,0,0,0,0,0,1,0
130470303041062,Georgia,Catoosa County,030304,1062,0,0,0,0,0,0,0,0,39,39,0
130470303041069,Georgia,Catoosa County,030304,1069,0,0,0,0,0,2,0,0,0,2,0
130470303041076,Georgia,Catoosa County,030304,1076,0,0,3,0,0,0,0,0,0,3,3
130470304011000,Georgia,Catoosa County,030401,1000,0,0,38,0,0,0,0,0,0,38,0
130470304011002,Georgia,Catoosa County,030401,1002,0,0,0,0,0,0,2,0,0,2,0
130470304011005,Georgia,Catoosa County,030401,1005,0,0,0,0,0,0,0,3,87,90,0
130470304011007,Georgia,Catoosa County,030401,1007,0,0,1,0,0,0,0,16,0,17,1
130470304011011,Georgia,Catoosa County,030401,1011,0,0,2,0,3,0,0,0,0,5,2
130470304011012,Georgia,Catoosa County,030401,1012,0,0,0,0,1,0,0,0,0,1,0
130470304011014,Georgia,Catoosa County,030401,1014,0,0,0,0,2,11,0,0,0,13,0
130470304011016,Georgia,Catoosa County,030401,1016,0,0,0,0,0,0,0,0,86,86,0
130470304011018,Georgia,Catoosa County,030401,1018,0,0,0,0,0,2,0,0,0,2,0
130470304011026,Georgia,Catoosa County,030401,1026,0,0,0,0,6,0,0,0,0,6,0
130470304012000,Georgia,Catoosa County,030401,2000,0,0,5,0,0,7,0,15,0,27,0
130470304012008,Georgia,Catoosa County,030401,2008,0,0,0,0,0,2,0,0,0,2,0
130470304012009,Georgia,Catoosa County,030401,2009,0,0,0,0,0,5,0,14,0,19,0
130470304012011,Georgia,Catoosa County,030401,2011,0,0,4,0,0,0,0,0,0,4,0
130470304012019,Georgia,Catoosa County,030401,2019,0,0,0,0,0,1,0,0,0,1,0
130470304012026,Georgia,Catoosa County,030401,2026,0,0,3,0,0,0,0,0,0,3,3
130470304012044,Georgia,Catoosa County,030401,2044,0,0,4,0,0,0,0,0,0,4,3
130470304013000,Georgia,Catoosa County,030401,3000,0,0,1,15,0,28,46,5,0,95,1
130470304013003,Georgia,Catoosa County,030401,3003,0,0,0,27,0,0,0,0,0,27,0
130470304013009,Georgia,Catoosa County,030401,3009,0,0,0,0,1,0,13,0,0,14,0
130470304013012,Georgia,Catoosa County,030401,3012,0,0,0,0,5,20,0,0,0,25,0
130470304013013,Georgia,Catoosa County,030401,3013,0,0,0,0,7,32,0,0,0,39,0
130470304013015,Georgia,Catoosa County,030401,3015,28,0,0,2,0,10,0,0,0,40,0
130470304013016,Georgia,Catoosa County,030401,3016,0,0,87,0,12,7,13,0,0,119,0
130470304013017,Georgia,Catoosa County,030401,3017,0,0,0,0,0,6,16,0,0,22,0
130470304013020,Georgia,Catoosa County,030401,3020,0,0,0,50,0,0,0,0,0,50,0
130470304013023,Georgia,Catoosa County,030401,3023,0,0,0,0,0,5,0,0,0,5,0
130470304013027,Georgia,Catoosa County,030401,3027,12,0,0,0,0,0,0,0,0,12,0
130470304013028,Georgia,Catoosa County,030401,3028,0,33,0,0,0,0,0,0,0,33,0
130470304013029,Georgia,Catoosa County,030401,3029,0,0,0,125,0,5,0,0,0,130,0
130470304013030,Georgia,Catoosa County,030401,3030,0,0,0,0,0,0,21,0,0,21,0
130470304013033,Georgia,Catoosa County,030401,3033,0,0,1,0,0,0,3,0,0,4,1
130470304013038,Georgia,Catoosa County,030401,3038,209,0,35,0,9,67,24,0,0,344,1
130470304013039,Georgia,Catoosa County,030401,3039,0,0,0,35,1,0,0,0,0,36,0
130470304013045,Georgia,Catoosa County,030401,3045,0,0,2,0,0,6,0,0,0,8,2
130470304013048,Georgia,Catoosa County,030401,3048,0,0,0,1,0,0,0,11,0,12,0
130470304013050,Georgia,Catoosa County,030401,3050,0,0,1,0,1,0,0,0,0,2,1
130470304013051,Georgia,Catoosa County,030401,3051,0,0,0,0,0,3,0,0,0,3,0
130470304013053,Georgia,Catoosa County,030401,3053,0,0,0,0,0,0,3,0,0,3,0
130470304013055,Georgia,Catoosa County,030401,3055,0,0,0,0,3,0,0,0,0,3,0
130470304021004,Georgia,Catoosa County,030402,1004,0,0,2,0,0,0,0,4,0,6,0
130470304021016,Georgia,Catoosa County,030402,1016,0,0,0,0,1,0,0,0,0,1,0
130470304021021,Georgia,Catoosa County,030402,1021,0,0,0,0,0,0,0,41,0,41,0
130470304021022,Georgia,Catoosa County,030402,1022,0,0,0,0,2,18,21,0,0,41,0
130470304021024,Georgia,Catoosa County,030402,1024,5,0,0,21,53,35,0,0,0,114,0
130470304021026,Georgia,Catoosa County,030402,1026,0,0,0,32,19,0,0,0,0,51,0
130470304022002,Georgia,Catoosa County,030402,2002,0,0,11,0,1,4,0,0,0,16,10
130470304022006,Georgia,Catoosa County,030402,2006,0,0,2,0,0,3,0,10,0,15,2
130470304022007,Georgia,Catoosa County,030402,2007,0,0,0,0,0,0,0,8,0,8,0
130470304022008,Georgia,Catoosa County,030402,2008,0,0,4,0,0,0,0,0,0,4,4
130470304022014,Georgia,Catoosa County,030402,2014,0,0,0,0,18,0,0,0,0,18,0
130470304022017,Georgia,Catoosa County,030402,2017,0,0,0,15,7,234,0,0,0,256,0
130470304022018,Georgia,Catoosa County,030402,2018,0,0,1,0,0,55,0,16,0,72,0
130470304022020,Georgia,Catoosa County,030402,2020,0,0,0,0,11,0,0,0,0,11,0
130470304022023,Georgia,Catoosa County,030402,2023,0,0,0,36,0,3,2,1,0,42,0
130470304022025,Georgia,Catoosa County,030402,2025,0,0,24,0,0,0,0,0,0,24,24
130470304022027,Georgia,Catoosa County,030402,2027,0,0,0,23,2,16,2,0,0,43,0
130470304023003,Georgia,Catoosa County,030402,3003,0,0,2,0,0,0,0,0,0,2,2
130470304023005,Georgia,Catoosa County,030402,3005,0,0,0,5,0,0,3,0,0,8,0
130470304023022,Georgia,Catoosa County,030402,3022,0,0,0,0,3,0,0,0,0,3,0
130470304023036,Georgia,Catoosa County,030402,3036,0,0,0,0,8,0,0,0,0,8,0
130470304024009,Georgia,Catoosa County,030402,4009,0,0,0,0,0,0,0,36,0,36,0
130470304024013,Georgia,Catoosa County,030402,4013,12,0,0,0,0,0,0,0,0,12,0
130470304024022,Georgia,Catoosa County,030402,4022,0,0,17,0,0,7,10,19,0,53,17
130470304024030,Georgia,Catoosa County,030402,4030,0,0,0,0,0,0,0,27,0,27,0
130470304024032,Georgia,Catoosa County,030402,4032,0,0,0,0,0,1,0,0,0,1,0
130470305001001,Georgia,Catoosa County,030500,1001,0,0,72,0,2,10,1,1,0,86,53
130470305001008,Georgia,Catoosa County,030500,1008,0,0,0,0,0,7,0,0,0,7,0
130470305001029,Georgia,Catoosa County,030500,1029,0,0,0,0,0,0,0,3,0,3,0
130470305001041,Georgia,Catoosa County,030500,1041,0,0,0,0,2,0,0,0,0,2,0
130470305001050,Georgia,Catoosa County,030500,1050,0,0,0,0,0,0,0,15,0,15,0
130470305001053,Georgia,Catoosa County,030500,1053,0,0,6,0,0,0,0,0,0,6,0
130470305001055,Georgia,Catoosa County,030500,1055,0,0,4,0,0,0,0,0,0,4,0
130470305001056,Georgia,Catoosa County,030500,1056,0,0,0,0,0,0,0,6,0,6,0
130470305001057,Georgia,Catoosa County,030500,1057,0,0,0,0,0,0,0,3,0,3,0
130470305002011,Georgia,Catoosa County,030500,2011,0,0,0,0,0,0,0,2,0,2,0
130470305002014,Georgia,Catoosa County,030500,2014,0,0,4,0,0,0,0,0,0,4,0
130470305002025,Georgia,Catoosa County,030500,2025,0,0,0,0,0,6,2,0,0,8,0
130470305002028,Georgia,Catoosa County,030500,2028,0,0,0,9,0,0,0,0,0,9,0
130470305002032,Georgia,Catoosa County,030500,2032,0,0,12,0,8,0,0,0,0,20,0
130470305003000,Georgia,Catoosa County,030500,3000,0,0,0,0,0,0,0,5,0,5,0
130470305003005,Georgia,Catoosa County,030500,3005,0,0,23,0,7,0,0,0,0,30,23
130470305003011,Georgia,Catoosa County,030500,3011,0,0,148,0,0,0,0,0,0,148,0
130470305003021,Georgia,Catoosa County,030500,3021,0,0,0,0,0,1,0,0,0,1,0
130470306001008,Georgia,Catoosa County,030600,1008,0,0,0,0,43,0,0,0,0,43,0
130470306002012,Georgia,Catoosa County,030600,2012,0,0,0,0,0,0,12,0,0,12,0
130470306003000,Georgia,Catoosa County,030600,3000,0,0,0,0,0,0,0,0,65,65,0
130470306003001,Georgia,Catoosa County,030600,3001,0,0,0,0,0,0,27,0,0,27,0
130470306003006,Georgia,Catoosa County,030600,3006,0,0,0,0,0,3,0,0,0,3,0
130470306003010,Georgia,Catoosa County,030600,3010,0,0,0,0,1,0,0,0,0,1,0
130470306004000,Georgia,Catoosa County,030600,4000,0,0,4,0,32,0,0,3,0,39,4
130470306004001,Georgia,Catoosa County,030600,4001,0,0,0,0,0,0,0,0,68,68,0
130470306004002,Georgia,Catoosa County,030600,4002,0,0,0,0,0,0,5,0,0,5,0
130470306004008,Georgia,Catoosa County,030600,4008,0,0,0,10,0,0,0,0,0,10,0
130470306004012,Georgia,Catoosa County,030600,4012,0,0,0,0,0,0,0,5,0,5,0
130470306004016,Georgia,Catoosa County,030600,4016,0,0,0,0,4,7,0,0,0,11,0
130470306004021,Georgia,Catoosa County,030600,4021,5,0,0,0,0,4,0,0,0,9,0
130470306004025,Georgia,Catoosa County,030600,4025,0,0,15,0,0,0,0,0,0,15,0
130470306004030,Georgia,Catoosa County,030600,4030,0,0,0,0,0,2,0,0,0,2,0
130470306004031,Georgia,Catoosa County,030600,4031,0,0,0,0,0,2,0,0,0,2,0
130470306004033,Georgia,Catoosa County,030600,4033,0,0,0,0,2,0,0,0,0,2,0
130470306004036,Georgia,Catoosa County,030600,4036,0,0,0,0,3,0,0,0,0,3,0
130470306005000,Georgia,Catoosa County,030600,5000,0,0,0,0,8,0,0,0,0,8,0
130470306005012,Georgia,Catoosa County,030600,5012,0,0,0,0,3,0,0,0,0,3,0
130470307001000,Georgia,Catoosa County,030700,1000,0,0,0,0,3,0,0,0,0,3,0
130470307001003,Georgia,Catoosa County,030700,1003,0,0,0,9,0,0,0,0,0,9,0
130470307001006,Georgia,Catoosa County,030700,1006,0,0,0,0,0,2,0,0,0,2,0
130470307001012,Georgia,Catoosa County,030700,1012,0,0,0,0,1,0,0,0,0,1,0
130470307001013,Georgia,Catoosa County,030700,1013,0,0,10,0,0,0,0,0,0,10,0
130470307001015,Georgia,Catoosa County,030700,1015,0,0,0,0,2,0,0,0,0,2,0
130470307001016,Georgia,Catoosa County,030700,1016,0,0,0,0,3,0,0,0,0,3,0
130470307001022,Georgia,Catoosa County,030700,1022,0,0,0,27,19,0,0,0,0,46,0
130470307001023,Georgia,Catoosa County,030700,1023,0,0,2,0,0,0,0,4,0,6,2
130470307001027,Georgia,Catoosa County,030700,1027,19,0,0,0,4,10,0,0,0,33,0
130470307001036,Georgia,Catoosa County,030700,1036,52,0,3,196,0,165,0,0,0,416,3
130470307001040,Georgia,Catoosa County,030700,1040,56,0,0,3,36,6,0,0,0,101,0
130470307001041,Georgia,Catoosa County,030700,1041,38,0,0,1,17,69,15,0,0,140,0
130470307001042,Georgia,Catoosa County,030700,1042,40,0,1,0,11,144,0,0,2,198,1
130470307001051,Georgia,Catoosa County,030700,1051,107,0,0,75,10,47,0,0,1,240,0
130470307001053,Georgia,Catoosa County,030700,1053,0,0,0,0,0,0,21,0,0,21,0
130470307002000,Georgia,Catoosa County,030700,2000,0,0,0,6,4,0,12,0,0,22,0
130470307002003,Georgia,Catoosa County,030700,2003,0,0,0,3,0,0,0,0,0,3,0
130470307002010,Georgia,Catoosa County,030700,2010,0,0,0,0,5,0,0,0,0,5,0
130470307002012,Georgia,Catoosa County,030700,2012,27,0,0,1,0,0,0,0,72,100,0
130470307002016,Georgia,Catoosa County,030700,2016,135,1,1,75,8,43,18,5,0,286,1
130470307002022,Georgia,Catoosa County,030700,2022,0,0,0,0,0,0,1,0,0,1,0
130470307002029,Georgia,Catoosa County,030700,2029,0,0,0,0,0,0,0,14,0,14,0
130470307003000,Georgia,Catoosa County,030700,3000,0,0,0,0,1,0,16,0,0,17,0
130470307003003,Georgia,Catoosa County,030700,3003,178,0,14,83,10,0,0,0,66,351,0
130470307003004,Georgia,Catoosa County,030700,3004,0,0,0,5,3,0,0,0,0,8,0
130470307003009,Georgia,Catoosa County,030700,3009,0,0,0,0,21,0,0,0,0,21,0
130470307003012,Georgia,Catoosa County,030700,3012,0,0,0,0,6,1,0,0,0,7,0
130470307003013,Georgia,Catoosa County,030700,3013,0,0,6,27,4,5,6,0,1,49,0
130470307003018,Georgia,Catoosa County,030700,3018,0,0,5,36,13,0,1,8,0,63,5
130470307003019,Georgia,Catoosa County,030700,3019,0,0,6,0,0,0,0,0,0,6,0
130470307003020,Georgia,Catoosa County,030700,3020,0,0,64,0,0,0,0,0,0,64,0
130470307003021,Georgia,Catoosa County,030700,3021,35,0,0,0,0,0,0,0,0,35,0
130470307003022,Georgia,Catoosa County,030700,3022,0,0,0,0,9,0,6,0,102,117,0
130470307003024,Georgia,Catoosa County,030700,3024,0,112,0,11,0,25,0,0,0,148,0
130470307003026,Georgia,Catoosa County,030700,3026,0,0,35,5,11,36,0,0,127,214,0
130470307003028,Georgia,Catoosa County,030700,3028,0,0,0,0,11,0,0,0,0,11,0
130470307003029,Georgia,Catoosa County,030700,3029,0,0,0,0,0,0,0,0,7,7,0
130470307003034,Georgia,Catoosa County,030700,3034,20,0,4,0,13,259,8,0,0,304,0
130470307003035,Georgia,Catoosa County,030700,3035,23,0,0,5,20,0,32,0,0,80,0
130470307003038,Georgia,Catoosa County,030700,3038,9,0,0,0,4,0,0,0,0,13,0
130470307003039,Georgia,Catoosa County,030700,3039,0,0,0,0,0,2,0,0,0,2,0
130470307003040,Georgia,Catoosa County,030700,3040,0,0,0,65,0,0,0,0,0,65,0
130470307004000,Georgia,Catoosa County,030700,4000,0,0,0,0,3,28,0,20,0,51,0
