id,end,link_id
7405,A,5775
7428,A,5799
7428,A,5800
7428,B,5811
7426,B,5799
7426,B,5809
7426,B,5796
7426,A,5797
7409,B,5800
7409,A,5777
7409,A,5778
7429,A,5801
7429,A,5802
7429,B,5839
7389,B,5802
7389,A,5756
7389,B,5760
7430,A,5803
7424,B,5803
7424,B,5794
7424,A,11321
7427,A,5804
7427,B,5813
7427,A,5798
7391,B,5804
7391,A,5758
7391,A,5759
7431,A,5805
7431,A,5806
7431,B,5816
7432,B,5806
7433,A,5807
7433,B,5808
7433,B,5815
7425,B,5807
7425,A,5795
7425,A,5796
7434,A,5809
7434,B,5810
7434,A,5808
7436,A,5812
7410,B,5812
7410,B,5814
7410,B,37902
7410,A,5779
7437,A,5813
7437,A,5814
7437,B,5817
7442,A,5819
7442,B,5836
7442,B,11119
7393,B,5819
7393,A,5774
7393,A,5760
3690,A,5832
3690,B,37936
3690,B,1636
3690,B,5949
3690,A,1666
7379,B,5832
7379,B,5764
7379,A,5746
8847,A,7486
8847,A,7487
8847,B,7499
8838,B,7486
8838,A,7475
8849,A,7488
8849,B,7535
8849,B,7502
8845,B,7488
8845,A,7483
8845,B,38158
8845,A,7484
8850,A,7489
8850,B,7493
8850,B,7514
8851,B,7489
8851,B,7492
8851,B,7524
8854,A,7491
8854,B,7523
8854,B,11812
8855,B,7491
8856,A,7492
8856,A,7493
8856,B,7521
8856,B,7503
8857,A,7494
8857,A,7497
8857,B,7520
8858,B,7494
8864,A,7501
8864,B,7513
8864,B,7505
8842,B,7501
8842,B,7485
8842,A,7480
8842,A,7479
8869,A,7506
8869,B,7602
8869,B,7526
8870,B,7506
8886,A,7524
8886,B,7540
8886,B,7529
8947,A,7590
8947,B,7595
8947,B,7622
8841,B,7590
8841,A,7478
8841,A,14724
8841,B,38155
9775,A,8495
9775,A,8498
9775,A,8496
9776,B,8495
9777,A,8497
9777,B,8496
9777,A,8499
9769,B,8497
9769,B,38403
9769,A,8484
9769,B,8486
9778,B,8498
9846,A,8567
9846,B,38373
9846,B,10285
9846,B,38253
5671,B,8567
5671,B,3797
5671,A,3794
5671,A,10519
7448,A,10142
7448,B,5823
7448,B,5844
11120,B,10142
11120,A,10827
11454,A,10500
11454,B,12147
11454,B,10496
11458,B,10500
11458,B,12153
11458,A,12154
11453,A,10501
11453,B,12403
11453,A,10496
11459,B,10501
11459,A,12161
11459,A,13083
11459,A,12167
6547,A,10848
6547,B,38422
6547,B,10825
6547,A,4807
11119,B,10848
11119,A,10141
11985,A,11421
11985,A,11422
11985,B,11420
7420,B,11421
7420,A,5791
7420,B,5793
11986,B,11422
11992,A,11427
11993,B,11427
11993,B,11431
11993,A,11468
11996,A,11431
11996,B,11466
11996,B,11432
12183,B,11674
12183,A,11673
12183,B,11672
12272,A,11803
12272,B,11802
8848,B,11803
8848,B,7487
8848,B,7495
12505,A,12145
12505,B,12246
12505,A,12144
12506,B,12145
12506,A,12156
12506,A,12158
12506,B,12155
12502,A,12153
12502,A,12142
12502,B,12149
12502,B,12146
12525,A,12174
12525,B,12175
12525,B,12173
9771,B,12174
9771,A,10434
9771,A,8486
12527,A,12176
12527,A,12461
12527,B,12178
11024,B,12176
11024,B,12177
11024,A,10023
11024,A,15602
12528,A,12177
12528,A,12179
12528,B,12180
12528,A,12178
12842,A,12522
12842,A,12523
12842,A,12527
12841,B,12522
12841,A,12529
12841,A,12521
12843,A,12524
12843,A,12530
12843,B,12523
12839,B,12524
12839,B,12519
12839,B,12520
12845,A,12526
12836,B,12526
12836,A,13006
12836,A,12518
12847,A,12528
12840,B,12528
12840,B,12529
12840,A,12520
12838,B,12530
12838,A,12519
12838,A,12891
13270,A,13087
13270,A,13086
13270,B,13085
13272,B,13087
13272,A,13088
13272,B,13089
13538,A,13491
13538,A,13488
13538,B,13487
13542,B,13491
13583,A,13539
13583,B,13538
13583,B,13540
7372,B,13539
7372,A,5739
7372,B,5774
7372,A,5740
13754,A,13837
13754,B,38295
13754,B,13836
7383,B,13837
7383,A,5751
7383,A,5749
3736,A,13865
3736,B,2147
3736,B,1694
13534,B,13865
13534,B,13484
13534,A,13866
13539,A,13867
13539,B,13488
13539,B,13492
13774,B,13867
13783,A,13886
13783,B,13883
13783,B,13885
4489,B,14591
4489,A,14589
4489,A,2621
12173,A,14603
12173,A,14604
12173,B,11662
4679,B,14603
4679,B,2835
4679,A,14633
4678,B,14604
4678,A,2835
4678,A,14638
4678,A,14631
12040,A,15057
12040,B,11487
4690,B,15057
4690,A,2846
4690,B,2847
14851,A,15601
14852,B,15601
14852,B,15602
14852,A,15636
14876,A,15632
14877,B,15632
14877,A,15637
14877,B,15636
14909,A,15674
14909,B,17367
14910,B,15674
14910,A,15675
15227,A,15978
15227,B,17648
15228,B,15978
15228,A,15979
16476,A,17365
16476,B,17369
16472,B,17365
16472,A,17362
16808,A,17652
16808,B,17655
16809,B,17652
16809,A,17653
17144,A,18015
17144,B,18095
17144,B,18094
17145,B,18015
17164,A,18030
17156,B,18030
17156,A,18092
17156,B,18023
17198,A,18061
17198,A,18166
17198,B,18079
17199,B,18061
17217,A,18081
17217,B,33786
17217,A,33722
17181,B,18081
17181,A,18044
17147,B,18092
17147,A,18017
17147,B,18018
17148,A,18096
17148,A,18180
17148,B,18017
17229,B,18096
17289,A,18173
17289,B,18184
17289,A,18185
17290,B,18173
17290,A,27883
17346,A,18239
17347,B,18239
17347,B,18240
17347,A,18241
17348,A,18240
17350,A,18242
17350,A,18245
17350,B,18244
17351,B,18242
17077,A,18250
17077,A,17959
17077,B,18245
17355,B,18250
17355,B,38610
17355,A,18249
17355,A,18251
17376,A,18279
17376,B,18278
17375,B,18279
17375,A,18277
17054,A,18280
17054,B,17943
17054,A,18042
17377,B,18280
17377,A,18281
17215,A,33757
17215,B,18165
17215,A,18079
29273,B,33757
29273,B,33785
29273,A,33812
17285,A,33786
17285,B,18166
17285,A,18260
390,A,37901
390,A,38011
390,A,38424
3073,B,37901
3073,B,38429
3073,B,1914
3073,B,1113
3073,A,2653
396,A,37903
396,A,38472
396,A,37945
396,A,38224
7412,B,37903
7412,B,38020
7412,A,5780
7412,B,5795
7412,B,5786
397,A,37904
397,A,37924
397,A,38267
13773,B,37904
13773,A,13863
13773,B,13864
13773,B,13866
399,A,37922
399,A,38373
4076,B,37922
4076,B,2144
4076,A,2145
7402,B,37924
7402,B,5771
7402,B,11469
7402,A,11634
505,A,37934
505,A,37902
7483,B,37934
7483,B,11211
7483,B,5868
7483,A,5864
816,A,38099
816,A,38447
816,A,38040
816,A,38441
3847,B,38099
3847,B,1808
3847,A,1809
564,A,38152
564,A,37970
564,A,38151
9767,B,38152
9767,B,8484
9767,B,8481
9767,B,8485
364,A,38156
364,A,38369
364,A,38155
3342,B,38156
3342,B,1337
3342,A,1336
3342,B,7512
679,A,38282
679,A,38340
679,A,38283
679,A,38284
680,A,38337
680,A,38336
680,A,38338
3715,B,38337
3715,B,5879
3715,B,1667
3715,A,2183
3176,B,38340
3176,A,1199
3176,B,1686
3176,A,14421
8958,B,38369
8958,A,7602
8958,B,7605
8958,B,7626
388,A,38374
388,A,38253
388,A,38252
9758,B,38374
9758,B,8483
9758,A,8470
9758,A,8471
391,A,38422
391,A,38423
391,A,38425
391,A,37900
391,A,38223
391,A,38421
3658,B,38423
3658,B,1595
3658,A,1895
3658,B,10824
3658,A,4835
3843,B,38447
3843,B,1845
3843,A,8548
3843,A,1805
3721,B,38472
3721,B,38561
3721,A,1676
3721,B,11559
494,A,38488
494,A,37949
494,A,38295
3167,B,38488
3167,B,2053
3167,A,1192
3167,B,5772
495,A,38489
495,A,38247
495,A,38296
495,A,38246
7482,B,38489
7482,A,5863
7482,B,5901
7482,A,11114
1005,A,38570
17394,B,38570
17394,B,18324
17394,A,18308
1006,A,38575
13168,B,38575
13168,B,12962
1007,A,38589
1007,A,38590
2750,B,38589
2750,B,730
2327,B,38590
2327,B,261
1004,A,38610
1008,A,38573
25240,B,38573
25240,B,27883
16475,A,17364
16474,B,17364
16474,A,17363
16474,B,18227
16806,A,17650
16805,B,17650
16805,A,17649
16805,A,18227
17260,A,18141
17261,B,18141
17261,B,18263
17261,A,18329
17284,A,18165
17284,A,18216
17284,B,18164
17327,B,18216
17283,A,18164
17059,A,17948
17059,B,18125
17059,A,18147
17060,B,17948
17060,A,17949
17060,B,18046
17193,A,18055
17188,B,18055
17188,A,18050
17188,A,18051
17188,B,18052
17063,A,18125
17063,B,17950
17063,B,18048
17409,A,18330
17409,B,18329
17189,B,18330
17189,B,18050
17189,A,18203
17062,A,18049
17062,A,17950
17062,B,18152
17187,B,18049
17195,A,18058
17195,A,18059
17195,B,18060
17194,B,18058
17194,A,18056
17194,A,18057
17196,B,18059
17274,A,18153
17273,B,18153
17273,B,18151
17273,A,18152
17197,A,18060
17186,A,18048
17186,B,18054
17190,B,18051
17190,B,18053
17190,A,18080
17192,A,18053
17192,A,18054
17192,B,18057
17216,B,18080
17272,A,18151
17191,B,18056
17191,A,18052
17313,B,18203
17218,A,18082
17218,B,18154
17219,B,18082
17219,B,18334
17219,A,18327
17267,A,18154
17267,B,18147
17267,B,18148
17411,A,18334
17407,B,18327
17407,A,18328
17408,B,18328
17268,A,18148
17364,A,18262
17364,B,18261
17364,B,18260
17366,B,18262
17366,A,18263
17366,A,18264
17367,B,18264
17365,A,18261
17061,B,17949
17061,B,18045
17061,A,18275
17183,A,18045
17183,B,18201
17269,A,18149
17269,B,18150
17270,B,18149
17270,A,18282
17270,B,18276
17310,A,18200
17310,A,18201
17310,B,18202
17311,B,18200
17378,B,18282
17378,A,18283
17184,A,18047
17184,A,18046
17185,B,18047
17312,A,18202
17374,B,18275
17374,A,18276
17182,B,18283
17182,B,18044
17182,A,18278
17271,A,18150
17291,A,18174
17172,B,18174
17172,B,18037
17172,B,18234
16471,A,17360
16471,A,17361
16471,B,17363
16469,B,17360
16469,A,17366
16469,B,38569
16469,B,17358
16468,B,17361
16468,A,18134
16468,A,17358
16468,B,17944
16477,B,17366
16477,A,17367
16799,A,17644
16799,B,17642
16799,B,17645
16801,B,17644
16801,B,17646
16801,A,17648
16801,B,38568
16800,A,17646
16800,B,17649
16800,A,17643
17176,A,18041
17176,B,18084
17176,A,18040
17178,B,18041
17180,A,18083
17180,A,18084
17180,B,18043
17220,B,18083
17168,A,18095
17168,B,18033
17168,B,18036
16802,B,18134
16802,B,17933
16802,A,17645
17295,A,18178
17295,A,18179
17295,B,18177
17225,B,18178
17225,A,18089
17225,B,18259
17358,A,18254
17357,B,18254
17357,B,18252
17357,A,18253
17361,A,18256
17360,B,18256
17360,A,18257
17360,B,18255
17362,B,18257
17362,B,18258
17362,A,18259
17363,A,18258
1009,A,38568
1009,A,38569
17084,A,18037
17084,B,17963
17084,A,18036
17293,A,18234
17293,B,18317
17293,B,18175
17292,A,18176
17292,A,18175
17294,B,18176
17399,A,18317
16798,A,17963
16798,A,17642
16798,B,17643
16798,A,17933
17167,A,18033
17221,A,18085
17058,B,18085
17058,B,17946
17058,B,17947
17296,B,18179
17177,A,18252
17177,B,18040
17057,B,18281
17057,A,17946
17057,A,18177
17179,A,18043
17055,B,18253
17055,A,17944
17055,A,17947
17359,A,18255
17226,A,18090
17227,B,18090
17227,A,18094
17227,B,18155
17159,A,18026
17159,B,18089
17159,B,18027
17155,B,18026
17155,A,18155
17155,A,18023
17163,A,18029
17160,B,18029
17160,B,18032
17160,A,18027
17166,A,18032
16807,B,17653
16807,A,17651
17241,A,18116
17242,B,18116
1001,A,38571
1001,A,38572
16941,B,38571
16941,B,17809
16651,B,38572
16651,B,17520
16473,A,17521
16473,B,17362
16650,B,17521
16650,A,17520
16804,A,17808
16804,B,17647
16940,B,17808
16940,A,17809
16803,B,17651
16803,A,17647
2073,A,51
2073,A,6821
2073,B,37957
2073,B,52
2073,B,1286
2071,B,51
2071,A,48
2071,A,49
2079,A,153
2079,B,55
2079,B,121
2003,B,153
2003,A,2
2003,A,54
2612,A,583
2612,B,584
2612,A,1286
2077,B,583
2077,B,54
2077,A,413
2077,A,582
2623,A,667
2623,B,593
2623,B,648
2613,B,667
2613,A,585
2613,A,586
3242,A,1253
3242,B,37905
3242,B,1254
3242,B,6504
3241,B,1253
3241,A,6466
3241,A,1252
4104,A,2182
4104,B,2181
3488,B,2182
3488,B,36719
3488,B,9329
3488,B,36723
3488,A,1446
7479,A,5860
7479,A,5859
7479,B,11114
7480,B,5860
7518,A,5900
7518,B,11538
7518,A,5901
7518,B,5908
7519,B,5900
7798,A,6240
7798,B,6259
7798,A,11088
7773,B,6240
7773,B,11089
7773,B,38159
7773,B,6214
7851,A,6304
7851,B,6321
7851,B,6334
7851,A,6298
7852,B,6304
7852,A,6299
7852,B,6333
7876,A,6321
7876,B,6332
7876,B,6341
7886,A,6334
7886,B,6377
7886,A,6341
7923,A,6377
7923,A,6376
7923,B,6389
7983,A,6449
7983,B,6466
7983,A,6450
7984,B,6449
8037,A,6514
8037,B,6547
8037,B,6516
8033,B,6514
8033,B,6534
8033,B,6541
8033,A,6510
8053,A,6534
8053,B,6548
8053,B,6559
8066,A,6548
8066,B,6574
8066,B,6564
8077,A,6574
8077,B,6643
8077,A,6559
8245,A,6765
8245,B,6821
8245,A,6766
8245,B,6794
8157,B,6765
8157,B,6724
8157,A,6655
11835,A,11089
11835,B,11088
12078,A,11538
12205,A,11709
12205,B,30433
12205,B,30434
12206,B,11709
12206,A,13549
13714,A,13788
13714,B,13896
13714,B,14129
13715,B,13788
3451,A,13895
3451,B,37254
3451,B,78739
3451,B,37203
3451,A,1419
13791,B,13895
13791,A,13896
13791,A,13897
14976,A,15734
14976,B,15733
14977,B,15734
14977,A,15735
15103,A,15834
15103,B,15942
15104,B,15834
15104,A,15924
15269,A,16020
15269,B,16028
15270,B,16020
15270,A,16036
15428,A,16213
15428,B,16212
15429,B,16213
15429,A,16222
15534,A,16321
15534,B,20476
15534,B,16349
15517,B,16321
15517,A,16309
15517,A,21312
15871,A,16638
15871,B,17248
15871,B,26341
15864,B,16638
15864,A,16630
15864,B,26308
16273,A,17044
16273,B,17046
16271,B,17044
16271,B,36742
16271,A,17041
15953,A,17138
15953,B,26884
15953,B,16714
15943,B,17138
15943,B,26859
15943,A,16706
16577,A,17452
16577,B,20298
16577,B,36721
16577,B,17451
16577,A,22495
16578,B,17452
16578,A,17453
16866,A,17726
16866,B,17727
16866,B,22495
16864,B,17726
16864,A,17725
16864,A,22441
17032,A,17925
17032,B,17923
17032,A,17924
16966,B,17925
16966,B,17837
16966,A,17839
16966,B,17920
17418,A,18343
17418,A,18667
17418,B,19929
17418,B,18668
17419,B,18343
17419,B,18666
17419,A,19930
17831,A,18666
17831,A,18912
17831,B,18667
17836,A,18671
17836,A,18672
17836,B,18910
17827,B,18671
17827,A,18664
17827,B,37380
17827,A,19753
17837,B,18672
17839,A,18674
17839,B,19068
17839,B,19614
17840,B,18674
17840,B,18914
17840,B,37366
17840,A,19124
17844,A,18677
17844,B,18679
17844,A,18678
17845,B,18677
17854,A,18684
17854,A,18685
17854,A,19743
17855,B,18684
17856,A,18840
17856,B,18685
17856,A,19745
18063,B,18840
17829,B,18912
17829,B,19544
17829,A,18665
18131,A,18913
18132,B,18913
18132,A,19573
18132,B,19572
17843,A,19135
17843,B,37358
17843,B,18676
18333,B,19135
18333,B,22661
18333,A,22689
17833,A,19279
17833,A,18669
17833,B,18670
18462,B,19279
18462,A,19281
18576,A,19416
18576,B,19419
18576,B,19417
18575,B,19416
18575,B,19418
18575,B,19415
18579,A,19419
18583,A,19424
18583,B,19423
18583,A,19838
18584,B,19424
18685,A,19542
18685,A,19544
18685,B,19543
18686,B,19542
17489,A,19840
17489,B,18393
17489,A,18858
18863,B,19840
18863,A,19841
18808,A,19907
18808,A,19981
18808,B,19764
18895,B,19907
18895,A,19908
17079,A,19980
17079,B,17960
18948,B,19980
18948,B,19981
18948,A,19982
19342,A,20298
19342,B,20314
19342,B,21779
19362,A,20319
19362,B,20322
19362,A,20320
19363,B,20319
19363,B,20333
19363,B,20324
19376,A,20330
19376,A,20331
19376,B,20347
19367,B,20330
19367,B,20341
19367,A,20324
19392,A,20349
19392,B,20627
19392,A,20347
19387,B,20349
19387,A,20341
19387,A,20340
19404,A,20358
19404,A,20987
19404,B,20361
19405,B,20358
19415,A,20367
19414,B,20367
19414,B,20378
19414,A,20366
19558,A,20474
19559,B,20474
19559,B,21101
19559,A,21537
19569,A,20483
19035,B,20483
19035,B,21039
19035,A,20040
19686,A,20571
19687,B,20571
19687,A,21551
19687,B,21336
19572,A,20607
19572,B,21442
19572,A,20486
19556,B,20607
19556,A,20472
19556,A,20752
19722,A,20608
19722,A,21414
19722,B,20985
19723,B,20608
19723,B,37306
19723,A,23968
19723,A,21411
19723,A,20610
19459,A,20620
19459,B,20407
19459,B,36872
19459,B,37015
19459,A,20405
19441,B,20620
19441,B,20390
19441,B,20403
18927,A,20715
18927,A,19953
19839,B,20715
19839,B,21788
19839,A,21065
19857,A,20729
19857,A,21099
19857,B,21098
19858,B,20729
19858,B,20732
19858,B,20730
19858,A,20731
19861,A,20732
19861,A,21698
19861,B,21099
19721,A,20738
19721,B,36794
19721,B,36737
19721,B,20606
19721,B,21310
19869,B,20738
19869,B,20881
19869,A,20739
20001,A,20864
20002,B,20864
20002,A,20869
20002,B,37332
20002,B,20868
20007,B,20869
20007,B,20867
20007,A,20989
20018,A,20882
20019,B,20882
20019,B,21793
20019,B,37165
20019,A,21093
20021,A,20884
20022,B,20884
20022,A,21788
20022,B,21787
20059,A,20927
20059,B,21804
20059,A,21849
19128,B,20927
19128,A,21008
19128,B,36829
19128,A,20110
20061,A,20929
20061,A,21781
20061,B,21782
18319,B,20929
18319,A,19109
19500,A,21004
19500,B,20433
19500,B,21767
20123,B,21004
20123,B,36717
20123,B,36837
20123,B,21183
20123,A,34950
20148,A,21039
20148,B,38600
20198,A,21101
20198,A,21100
20198,B,21532
20305,A,21230
20305,B,21231
19527,B,21230
19527,A,20453
19527,A,20609
20442,B,21414
20448,A,21422
20171,B,21422
20171,B,37167
20171,A,21063
20171,A,21419
20529,B,21551
20529,A,21552
20529,A,21553
20530,B,21552
19831,A,21609
19831,B,21611
19831,B,36725
19831,A,20709
20566,B,21609
20567,A,21611
20567,A,21612
20567,B,21610
19821,A,21655
19821,A,21654
19821,B,20701
20393,B,21655
20393,B,21653
20393,A,21350
19788,A,21695
19788,B,20670
20623,B,21695
20623,B,21697
20623,A,21696
20624,A,21697
20625,B,21698
20625,B,36972
20625,A,21699
20625,B,21700
20116,A,21749
20116,A,20998
20116,B,20996
20388,B,21749
20388,B,36787
20388,A,21344
19562,A,21756
19562,B,36731
19562,B,21763
19562,B,20478
20664,B,21756
20664,B,36726
20664,A,21758
20664,A,21757
19866,A,21773
19866,B,21318
19866,A,20736
19866,B,37311
19535,B,21773
19535,B,36845
19535,A,20458
19535,A,21770
20682,A,21786
20681,B,21786
20681,B,21784
20681,A,21785
20685,A,21793
20685,A,21794
20685,B,36969
20685,B,21792
20688,A,21798
20687,B,21798
20687,A,21921
20687,B,21797
20689,A,21799
20689,B,22439
20689,B,22440
20690,B,21799
20690,B,21802
20690,A,21803
19248,A,21800
19248,B,20221
19248,B,20215
20004,B,21800
20004,B,20865
20004,A,20868
19253,A,21801
19253,B,20222
19253,A,20221
20003,B,21801
20003,B,20991
20003,A,20865
16870,A,21805
16870,B,36849
16870,B,17742
16870,A,17731
16870,B,22326
20692,B,21805
15560,A,21898
15560,B,16348
15560,A,16349
20764,B,21898
20771,B,21921
20771,B,36763
20771,A,21922
20781,A,21941
20781,B,21943
19027,B,21941
19027,A,20035
21188,A,22544
21188,A,22761
21188,B,22680
21189,B,22544
21189,A,22665
21189,A,22791
21292,A,22667
21291,B,22667
21291,A,22666
21353,A,22756
21353,B,22757
21353,B,22755
21289,B,22756
21289,A,22664
21289,A,22705
21357,B,22761
21357,B,22763
21357,A,22762
23650,A,25757
23650,A,31366
23650,B,31358
23651,B,25757
23651,B,29995
23754,A,25912
23754,A,31357
23754,B,26015
23755,B,25912
23755,A,29994
23755,A,30179
23755,B,25971
23831,A,26016
23831,B,36724
23831,A,26015
23831,B,26044
23798,B,26016
23798,A,29992
23798,A,25971
23988,A,26227
23988,A,26228
23988,B,31360
23849,B,26227
23849,B,29874
23849,A,26044
24104,A,26378
24104,B,26517
24104,A,26377
24104,B,26419
24068,B,26378
24068,A,26341
24068,B,26468
24211,A,26518
24211,B,26652
24211,A,26517
24211,B,26550
24178,B,26518
24178,B,26531
24178,A,26469
24178,A,26468
24310,A,26652
24310,B,26717
24310,A,26653
24310,B,26754
24355,A,26717
24355,A,26716
24355,B,26756
24469,A,26884
24469,B,26903
24469,B,26949
24522,A,26950
24522,B,27016
24522,A,26949
24522,B,26998
24474,B,26950
24474,B,26940
24474,A,26892
24572,A,27016
24572,B,27065
24572,A,27017
24602,A,27065
24602,A,27064
24602,B,27071
24651,A,27131
24651,A,27130
24651,B,30370
24619,B,27131
24619,A,27088
24619,B,27109
25870,A,28990
25870,B,37291
25870,B,28660
26080,B,28990
26080,A,28991
26878,A,30188
26878,A,31371
26878,B,31367
26879,B,30188
27018,A,30372
27018,B,30373
27017,B,30372
27017,B,30371
28786,A,33219
28786,A,33528
28786,B,33224
28787,B,33219
28787,A,33246
28787,A,35589
28787,B,35627
28864,A,33297
28864,B,36852
28864,B,33299
28861,B,33297
28861,B,37341
28861,B,35582
28861,A,33295
28861,A,35626
29082,B,33528
29082,A,33631
29082,B,35626
29082,A,35627
29870,A,34408
29870,B,34429
29870,B,35338
29871,B,34408
29976,A,34501
29976,A,34889
29976,B,35348
29972,B,34501
29972,A,34498
29972,A,34703
30387,A,34953
30387,B,35119
30387,A,34878
30008,B,34953
30008,B,34524
30008,A,34954
30403,A,34958
30403,A,34892
30403,B,34890
29921,B,34958
29921,B,34452
29921,A,34957
30374,A,35119
30374,B,36841
30374,A,34866
30374,B,34948
30783,A,35407
30783,A,35410
30783,B,36842
30783,B,35406
30783,B,35412
30141,B,35407
30141,B,35414
30141,A,34639
30784,B,35410
30784,B,35408
30784,A,35409
30789,A,35418
30789,B,35493
30789,A,35492
30790,B,35418
31665,A,36668
31665,B,36667
31665,A,36669
30394,B,36668
30394,B,34881
30394,B,34921
30394,A,36673
51,A,36717
51,A,36726
51,A,36763
51,A,36845
39,A,36718
39,A,36870
39,A,36871
39,A,37341
39,A,36748
30740,B,36718
30740,A,35336
30740,A,35337
30740,B,35335
469,A,36719
469,A,37203
34,A,36721
34,A,36720
34,A,37015
476,A,36722
476,A,37188
16339,B,36722
16339,B,17135
16339,A,17134
477,A,36724
477,A,37191
53,A,36725
53,A,36966
53,A,36967
57,A,36731
57,A,36794
35,A,36831
35,A,36872
35,A,36852
35,A,36869
35,A,37339
35,A,37340
19467,B,36831
19467,A,20412
19467,B,34332
19467,A,21667
56,A,36832
56,A,36837
56,A,36835
30236,B,36832
30236,B,34722
30236,A,35406
30236,B,35411
60,A,36841
60,A,36842
40,A,36843
40,A,36796
40,A,36815
29977,B,36843
29977,B,35340
29977,A,34502
29977,A,35348
796,A,36849
796,A,37331
467,A,36949
16667,B,36949
16667,B,30425
16667,A,30066
16667,B,17537
88,A,36972
88,A,37165
88,A,37166
694,A,37190
694,A,37261
27539,B,37190
27539,B,31158
27539,B,31159
27539,A,31209
904,A,37254
904,A,37253
855,A,37291
855,A,37021
20111,B,37331
20111,A,20991
20111,B,21257
20111,A,22440
795,A,37332
795,A,37333
795,A,37334
795,A,36801
196,A,37352
196,A,37382
196,A,37380
196,A,37381
17835,B,37352
17835,B,19131
17835,B,19755
17835,A,18670
210,A,37353
210,A,37366
210,A,37383
210,A,37384
17861,B,37353
17861,A,18688
17861,A,19617
17861,B,18689
43,A,37359
43,A,37351
17847,B,37359
17847,B,19742
17847,A,19955
17847,A,18679
442,A,37905
442,A,37956
442,A,37957
442,A,37961
1021,A,38598
1021,A,38599
16903,B,38598
16903,A,17769
16608,B,38599
16608,A,17481
31811,A,78739
31811,B,1699
17864,A,18690
17864,B,37665
17864,B,19195
17864,B,18693
17865,B,18690
17865,B,18694
17865,A,19122
18115,A,18890
18115,B,19116
18115,A,19652
17961,B,18890
17961,B,18760
17961,A,18893
18178,A,18965
18178,B,19873
18178,A,19884
18179,B,18965
18179,A,19464
18179,A,19517
18244,A,19035
18244,A,19881
18244,B,19890
18245,B,19035
18245,A,19036
18245,A,19039
18288,A,19072
18288,A,19073
18288,A,19074
18289,B,19072
18289,B,19802
18289,A,19648
17870,A,19456
17870,A,18694
17870,B,18700
18616,B,19456
